,Country,Airport,CityServed,Continent,PhotoURL
0,Beijing Capital International Airport,Beijing,China,Asia,
1,Dubai International Airport,Dubai,United Arab Emirates,Asia,
2,Tokyo-Haneda International Airport,Tokyo,Japan,Asia,
3,Indira Gandhi International Airport,Delhi,India,Asia,
4,Incheon International Airport,Seoul/Incheon,Republic of Korea,Asia,
5,Soekarno–Hatta International Airport,Jakarta/Tangerang,Indonesia,Asia,
6,Singapore Changi Airport,Singapore,Singapore,Asia,http://localhost:3000/assets/images/cities/singapore.jpg
7,Suvarnabhumi Airport,Bangkok/Samut Prakan,Thailand,Asia,
8,Kuala Lumpur International Airport,Kuala Lumpur/Sepang,Malaysia,Asia,
9,Taiwan Taoyuan International Airport,Taipei/Taoyuan,Taiwan,Asia,
10,Ninoy Aquino International Airport,Manila,Philippines,Asia,
11,King Abdulaziz International Airport,Jeddah,Saudi Arabia,Asia,
12,Tan Son Nhat International Airport,Ho Chi Minh City (Saigon),Vietnam,Asia,
13,Hamad International Airport,Doha,Qatar,Asia,
14,Sabiha Gökçen International Airport,Istanbul,Turkey,Asia,
15,Ben Gurion Airport,Central District,Israel,Asia,
