,Country,Airport,CityServed,Continent,PhotoURL
0,France,Charles de Gaulle Airport,Paris,Europe,http://localhost:3000/assets/images/cities/paris.jpg
1,Netherlands,Amsterdam Airport Schiphol,Amsterdam,Europe,http://localhost:3000/assets/images/cities/amsterdam.jpg
2,Germany,Frankfurt am Main Airport,Frankfurt,Europe,http://localhost:3000/assets/images/cities/frankfurt.jpg
3,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid,Europe,http://localhost:3000/assets/images/cities/madrid.jpg
4,Spain,Josep Tarradellas Barcelona–El Prat Airport,Barcelona,Europe,http://localhost:3000/assets/images/cities/barcelona.jpg
5,Spain,Palma de Mallorca Airport,Mallorca,Europe,http://localhost:3000/assets/images/cities/mallorca.jpg
6,Greece,Athens International Airport,Athens,Europe,http://localhost:3000/assets/images/cities/athens.jpg
7,Germany,Munich Airport,Munich,Europe,http://localhost:3000/assets/images/cities/munich.jpg
8,Portugal,Lisbon Airport,Lisbon,Europe,http://localhost:3000/assets/images/cities/lisbon.jpg
9,Italy,Leonardo da Vinci–Fiumicino Airport,Rome,Europe,http://localhost:3000/assets/images/cities/rome.jpg
10,Austria,Vienna International Airport,Vienna,Europe,http://localhost:3000/assets/images/cities/vienna.jpg
11,Germany,Berlin Brandenburg Airport,Berlin,Europe,http://localhost:3000/assets/images/cities/berlin.jpg
12,Italy,Malpensa Airport,Milan,Europe,http://localhost:3000/assets/images/cities/milan.jpg
13,Belgium,Brussels Airport,Brussels,Europe,http://localhost:3000/assets/images/cities/brussels.jpg
14,Denmark,Copenhagen Airport,Copenhagen,Europe,http://localhost:3000/assets/images/cities/copenhagen.jpg
15,Spain,Málaga Airport,Malaga,Europe,http://localhost:3000/assets/images/cities/malaga.jpg
16,Ireland,Dublin Airport,Dublin,Europe,http://localhost:3000/assets/images/cities/dublin.jpg
17,Germany,Düsseldorf Airport,Dusseldorf,Europe,http://localhost:3000/assets/images/cities/dusseldorf.jpg
18,Sweden,Stockholm Arlanda Airport,Stockholm,Europe,http://localhost:3000/assets/images/cities/stockholm.jpg
19,Poland,Warsaw Chopin Airport,Warsaw,Europe,http://localhost:3000/assets/images/cities/warsaw.jpg
20,Romania,Henri Coandă International Airport,Bucharest,Europe,http://localhost:3000/assets/images/cities/bucharest.jpg
21,Spain,Gran Canaria Airport,Canaria,Europe,http://localhost:3000/assets/images/cities/canaria.jpg
22,France,Nice Côte d'Azur Airport,Nice,Europe,http://localhost:3000/assets/images/cities/nice.jpg
23,Italy,Catania-Fontanarossa Airport,Catania,Europe,http://localhost:3000/assets/images/cities/catania.jpg
24,Spain,Alicante Airport,Alicante,Europe,http://localhost:3000/assets/images/cities/alicante.jpg
25,Portugal,Porto Airport,Porto,Europe,http://localhost:3000/assets/images/cities/porto.jpg
26,Germany,Hamburg Airport,Hamburg,Europe,http://localhost:3000/assets/images/cities/hamburg.jpg
27,Greece,Heraklion International Airport,Heraklion,Europe,http://localhost:3000/assets/images/cities/heraklion.jpg
28,Spain,Ibiza Airport,Ibiza,Europe,http://localhost:3000/assets/images/cities/ibiza.jpg
29,France,Marseille Provence Airport,Marseille,Europe,http://localhost:3000/assets/images/cities/marseille.jpg
30,Italy,Naples Airport,Naples,Europe,http://localhost:3000/assets/images/cities/naples.jpg
31,Italy,Falcone–Borsellino Airport,Palermo,Europe,http://localhost:3000/assets/images/cities/palermo.jpg
32,Hungary,Budapest Ferenc Liszt International Airport,Budapest,Europe,http://localhost:3000/assets/images/cities/budapest.jpg
33,France,Lyon–Saint-Exupéry Airport,Lyon,Europe,http://localhost:3000/assets/images/cities/lyon.jpg
34,Spain,Tenerife South Airport,Tenerife,Europe,http://localhost:3000/assets/images/cities/tenerife.jpg
35,Czech Republic,Václav Havel Airport Prague,Prague,Europe,http://localhost:3000/assets/images/cities/prague.jpg
36,Finland,Helsinki Airport,Helsinki,Europe,http://localhost:3000/assets/images/cities/helsinki.jpg
37,Germany,Cologne Bonn Airport,Cologne,Europe,http://localhost:3000/assets/images/cities/cologne.jpg
38,Italy,Bologna Guglielmo Marconi Airport,Bologna,Europe,http://localhost:3000/assets/images/cities/bologna.jpg
39,Spain,Valencia Airport,Valencia,Europe,http://localhost:3000/assets/images/cities/valencia.jpg
40,France,Toulouse–Blagnac Airport,Toulouse,Europe,http://localhost:3000/assets/images/cities/toulouse.jpg
41,Germany,Stuttgart Airport,Stuttgart,Europe,http://localhost:3000/assets/images/cities/stuttgart.jpg
42,Greece,Thessaloniki Airport,Thessaloniki,Europe,http://localhost:3000/assets/images/cities/thessaloniki.jpg
43,Spain,Seville Airport,Seville,Europe,http://localhost:3000/assets/images/cities/seville.jpg
44,Italy,Venice Marco Polo Airport,Venice,Europe,http://localhost:3000/assets/images/cities/venice.jpg
