,Continent,Region,Country
0,North America,Caribbean[edit],Cuba
1,North America,Caribbean[edit],Dominican Republic
2,North America,Caribbean[edit],Puerto Rico
3,North America,Central America[edit],Costa Rica
4,North America,Central America[edit],El Salvador
5,North America,Central America[edit],Guatemala
6,North America,Central America[edit],Honduras
7,North America,Central America[edit],Nicaragua
8,North America,Central America[edit],Panama
9,South America,South America,Argentina
10,South America,South America,Bolivia
11,South America,South America,Brazil
12,South America,South America,Chile
13,South America,South America,Colombia
14,South America,South America,Ecuador
15,South America,South America,Paraguay
16,South America,South America,Peru
17,South America,South America,Uruguay
