,Country,Airport,CityServed
0,France,Charles de Gaulle Airport,Paris
1,Netherlands,Amsterdam Airport Schiphol,Amsterdam
2,Germany,Frankfurt am Main Airport,Frankfurt
3,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid
4,Spain,Josep Tarradellas Barcelona–El Prat Airport,Barcelona
5,France,Orly Airport,Paris
6,Spain,Palma de Mallorca Airport,Palma de Mallorca
7,Greece,Athens International Airport,Athens
8,Germany,Munich Airport,Munich
9,Portugal,Lisbon Airport,Lisbon
10,Italy,Leonardo da Vinci–Fiumicino Airport,Rome
11,Austria,Vienna International Airport,Vienna
12,Germany,Berlin Brandenburg Airport,Berlin
13,Italy,Malpensa Airport,Milan
14,Belgium,Brussels Airport,Brussels
15,Denmark,Copenhagen Airport,Copenhagen
16,Spain,Málaga Airport,Málaga
17,Ireland,Dublin Airport,Dublin
18,Germany,Düsseldorf Airport,Düsseldorf
19,Sweden,Stockholm Arlanda Airport,Stockholm
20,Poland,Warsaw Chopin Airport,Warsaw
21,Romania,Henri Coandă International Airport,Bucharest
22,Spain,Gran Canaria Airport,Gran Canaria
23,France,Nice Côte d'Azur Airport,Nice
24,Italy,Orio al Serio International Airport,Milan/Bergamo
25,Italy,Catania-Fontanarossa Airport,Catania
26,Spain,Alicante Airport,Alicante
27,Portugal,Porto Airport,Porto
28,Germany,Hamburg Airport,Hamburg
29,Greece,Heraklion International Airport,Heraklion
30,Spain,Ibiza Airport,Ibiza
31,France,Marseille Provence Airport,Marseille
32,Italy,Naples Airport,Naples
33,Italy,Falcone–Borsellino Airport,Palermo
34,Hungary,Budapest Ferenc Liszt International Airport,Budapest
35,France,Lyon–Saint-Exupéry Airport,Lyon
36,Spain,Tenerife South Airport,Tenerife
37,Czech Republic,Václav Havel Airport Prague,Prague
38,Italy,Linate Airport,Milan
39,Finland,Helsinki Airport,Helsinki
40,Germany,Cologne Bonn Airport,Cologne/Bonn
41,Italy,Bologna Guglielmo Marconi Airport,Bologna
42,Spain,Valencia Airport,Valencia
43,Spain,Tenerife North–Ciudad de La Laguna Airport,Tenerife
44,France,Toulouse–Blagnac Airport,Toulouse
45,Belgium,Brussels South Charleroi Airport,Brussels
46,Germany,Stuttgart Airport,Stuttgart
47,Greece,Thessaloniki Airport,Thessaloniki
48,Spain,Seville Airport,Seville
49,Italy,Venice Marco Polo Airport,Venice
