,Country,Airport,CityServed,PhotoURL
0,France,Charles de Gaulle Airport,Paris,http://localhost:3000/assets/images/cities/paris.jpg
1,Netherlands,Amsterdam Airport Schiphol,Amsterdam,http://localhost:3000/assets/images/cities/amsterdam.jpg
2,Germany,Frankfurt am Main Airport,Frankfurt,http://localhost:3000/assets/images/cities/frankfurt.jpg
3,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid,http://localhost:3000/assets/images/cities/madrid.jpg
4,Spain,Josep Tarradellas Barcelona–El Prat Airport,Barcelona,http://localhost:3000/assets/images/cities/barcelona.jpg
5,Spain,Palma de Mallorca Airport,Mallorca,http://localhost:3000/assets/images/cities/mallorca.jpg
6,Greece,Athens International Airport,Athens,http://localhost:3000/assets/images/cities/athens.jpg
7,Germany,Munich Airport,Munich,http://localhost:3000/assets/images/cities/munich.jpg
8,Portugal,Lisbon Airport,Lisbon,http://localhost:3000/assets/images/cities/lisbon.jpg
9,Italy,Leonardo da Vinci–Fiumicino Airport,Rome,http://localhost:3000/assets/images/cities/rome.jpg
10,Austria,Vienna International Airport,Vienna,http://localhost:3000/assets/images/cities/vienna.jpg
11,Germany,Berlin Brandenburg Airport,Berlin,http://localhost:3000/assets/images/cities/berlin.jpg
12,Italy,Malpensa Airport,Milan,http://localhost:3000/assets/images/cities/milan.jpg
13,Belgium,Brussels Airport,Brussels,http://localhost:3000/assets/images/cities/brussels.jpg
14,Denmark,Copenhagen Airport,Copenhagen,http://localhost:3000/assets/images/cities/copenhagen.jpg
15,Spain,Málaga Airport,Malaga,http://localhost:3000/assets/images/cities/malaga.jpg
16,Ireland,Dublin Airport,Dublin,http://localhost:3000/assets/images/cities/dublin.jpg
17,Germany,Düsseldorf Airport,Dusseldorf,http://localhost:3000/assets/images/cities/dusseldorf.jpg
18,Sweden,Stockholm Arlanda Airport,Stockholm,http://localhost:3000/assets/images/cities/stockholm.jpg
19,Poland,Warsaw Chopin Airport,Warsaw,http://localhost:3000/assets/images/cities/warsaw.jpg
20,Romania,Henri Coandă International Airport,Bucharest,http://localhost:3000/assets/images/cities/bucharest.jpg
21,Spain,Gran Canaria Airport,Canaria,http://localhost:3000/assets/images/cities/canaria.jpg
22,France,Nice Côte d'Azur Airport,Nice,http://localhost:3000/assets/images/cities/nice.jpg
23,Italy,Catania-Fontanarossa Airport,Catania,http://localhost:3000/assets/images/cities/catania.jpg
24,Spain,Alicante Airport,Alicante,http://localhost:3000/assets/images/cities/alicante.jpg
25,Portugal,Porto Airport,Porto,http://localhost:3000/assets/images/cities/porto.jpg
26,Germany,Hamburg Airport,Hamburg,http://localhost:3000/assets/images/cities/hamburg.jpg
27,Greece,Heraklion International Airport,Heraklion,http://localhost:3000/assets/images/cities/heraklion.jpg
28,Spain,Ibiza Airport,Ibiza,http://localhost:3000/assets/images/cities/ibiza.jpg
29,France,Marseille Provence Airport,Marseille,http://localhost:3000/assets/images/cities/marseille.jpg
30,Italy,Naples Airport,Naples,http://localhost:3000/assets/images/cities/naples.jpg
31,Italy,Falcone–Borsellino Airport,Palermo,http://localhost:3000/assets/images/cities/palermo.jpg
32,Hungary,Budapest Ferenc Liszt International Airport,Budapest,http://localhost:3000/assets/images/cities/budapest.jpg
33,France,Lyon–Saint-Exupéry Airport,Lyon,http://localhost:3000/assets/images/cities/lyon.jpg
34,Spain,Tenerife South Airport,Tenerife,http://localhost:3000/assets/images/cities/tenerife.jpg
35,Czech Republic,Václav Havel Airport Prague,Prague,http://localhost:3000/assets/images/cities/prague.jpg
36,Finland,Helsinki Airport,Helsinki,http://localhost:3000/assets/images/cities/helsinki.jpg
37,Germany,Cologne Bonn Airport,Cologne,http://localhost:3000/assets/images/cities/cologne.jpg
38,Italy,Bologna Guglielmo Marconi Airport,Bologna,http://localhost:3000/assets/images/cities/bologna.jpg
39,Spain,Valencia Airport,Valencia,http://localhost:3000/assets/images/cities/valencia.jpg
40,France,Toulouse–Blagnac Airport,Toulouse,http://localhost:3000/assets/images/cities/toulouse.jpg
41,Germany,Stuttgart Airport,Stuttgart,http://localhost:3000/assets/images/cities/stuttgart.jpg
42,Greece,Thessaloniki Airport,Thessaloniki,http://localhost:3000/assets/images/cities/thessaloniki.jpg
43,Spain,Seville Airport,Seville,http://localhost:3000/assets/images/cities/seville.jpg
44,Italy,Venice Marco Polo Airport,Venice,http://localhost:3000/assets/images/cities/venice.jpg
